"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"82","RT @LionKing1905_: #Galatasaray dan ayrılan oyuncu hoca yöneticiyi #Galatasaray ne zaman havaya girse canlı yayına davet edip Galatasaray'ı…",FALSE,0,NA,2018-03-19 10:47:00,FALSE,NA,"975685060996235266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mustali1905",3,TRUE,FALSE,NA,NA
"83","RT @UrfaliTinerciJK: #sinemiçinbağırıyoruz
#SinemİcinBağırıyoruz #Beşiktaş #Galatasaray #Fenerbahçe #Başakşehir @TFF_Org @TFFSuperLig @tine…",FALSE,0,NA,2018-03-19 10:46:19,FALSE,NA,"975684887364669441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Emelyeniguness",6,TRUE,FALSE,NA,NA
"84","RT @taka_fuck_me: 長友に鎧や侍の格好させたらガラタサライ公式がリツイートやふぁぼしてくるのか実験
#Galatasaray #nagatomo #nagatomoyuto #Türkiye https://t.co/VhMmWDuDbC",FALSE,0,NA,2018-03-19 10:45:56,FALSE,NA,"975684790706888704",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xmoonxflowerx",5,TRUE,FALSE,NA,NA
"85","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:44:50,FALSE,NA,"975684514201657344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","koriko1234",1049,TRUE,FALSE,NA,NA
"86","#sinemiçinbağırıyoruz
#SinemİcinBağırıyoruz #Beşiktaş #Galatasaray #Fenerbahçe #Başakşehir @TFF_Org @TFFSuperLig… https://t.co/NSvTXx19Kd",FALSE,4,NA,2018-03-19 10:44:29,TRUE,NA,"975684426553274368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UrfaliTinerciJK",6,FALSE,FALSE,NA,NA
"87","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:43:57,FALSE,NA,"975684292855681024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onurcf",1049,TRUE,FALSE,NA,NA
"88","RT @aa_spor: Golsüz derbinin kazananı #Galatasaray yatırımcısı https://t.co/MeQsMueOoE https://t.co/8VMKHwcvTF",FALSE,0,NA,2018-03-19 10:43:18,FALSE,NA,"975684131211350016",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","bariskuyucu_",2,TRUE,FALSE,NA,NA
"89","RT @scoutsattending: #nufc scout watched 27yo #galatasaray LW Garry Rodrigues in 0-0 draw with #fenerbahce on Sat",FALSE,0,NA,2018-03-19 10:42:44,FALSE,NA,"975683987107696640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hsnyldrm1979",5,TRUE,FALSE,NA,NA
"90","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:42:42,FALSE,NA,"975683979146858498",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nickimiverin",1049,TRUE,FALSE,NA,NA
"91","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:42:22,FALSE,NA,"975683893776044032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Muzaffe83506055",1049,TRUE,FALSE,NA,NA
"92","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:42:14,FALSE,NA,"975683862021001217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CiimbomRuhu",1049,TRUE,FALSE,NA,NA
"93","RT @Galatasaray: On this day in 2011, #Galatasaray fans set the Guinness World Record @GWR for the loudest crowd roar at a sports stadium!…",FALSE,0,NA,2018-03-19 10:42:00,FALSE,NA,"975683800746418176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MeH_AK47",283,TRUE,FALSE,NA,NA
"94","#Galatasaray'ın 10 numarası Younes Belhanda, 0-0 biten Fenerbahçe maçı ile ilgili yaptığı açıklama Fenerbahçelileri… https://t.co/IdA0lcpwD4",FALSE,0,NA,2018-03-19 10:41:08,TRUE,NA,"975683582751469569",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","spor3com",0,FALSE,FALSE,NA,NA
"95","#Galatasaray'ın 10 numarası Younes Belhanda, 0-0 biten Fenerbahçe maçı ile ilgili yaptığı açıklama Fenerbahçelileri… https://t.co/fPw9nqcBC9",FALSE,0,NA,2018-03-19 10:41:06,TRUE,NA,"975683576288047105",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","SonDakikaSpor_X",0,FALSE,FALSE,NA,NA
"96","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:40:40,FALSE,NA,"975683468624580608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cagriergen",1049,TRUE,FALSE,NA,NA
"97","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:40:21,FALSE,NA,"975683386881781761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OcJuve",1049,TRUE,FALSE,NA,NA
"98","RT @footballitalia: #Chelsea are challenging #Inter and #Galatasaray for the signature of  #Juventus full-back Kwadwo Asamoah, according to…",FALSE,0,NA,2018-03-19 10:37:04,FALSE,NA,"975682558934552576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BerGS_10",13,TRUE,FALSE,NA,NA
"99","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 10:36:55,FALSE,NA,"975682521236230144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","omarfrkdmr46",1049,TRUE,FALSE,NA,NA
"100","#Galatasaray dan ayrılan oyuncu hoca yöneticiyi #Galatasaray ne zaman havaya girse canlı yayına davet edip Galatasa… https://t.co/ewX4G8IdLv",FALSE,10,NA,2018-03-19 10:36:54,TRUE,NA,"975682520850358272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LionKing1905_",3,FALSE,FALSE,NA,NA
