,Text,favorited,favoriteCount,Date,truncated,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
171,@DefenseUnits's account has been withheld in Turkey in response to a legal demand. Learn more.,FALSE,0,2018-03-19 19:32:19,FALSE,9.75817260068758E+017,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Hasan28953242,28,TRUE,FALSE
172,"RT @NAV_DEM: In #Berlin wird aktuell am Hauptbahnhof für #Afrin protestiert!
#DefendAfrin https://t.co/BZ0TAwvfde",FALSE,0,2018-03-19 19:32:18,FALSE,9.75817258936209E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mcwisel59,54,TRUE,FALSE
173,"RT @Selenznn: Noktalı yerleri siz tamamlayınız😏😎
  #Afrin
#18Mart https://t.co/VseUQvGHzF",FALSE,0,2018-03-19 19:32:18,FALSE,9.7581725803024E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sudem571,2,TRUE,FALSE
174,"RT @slmhktn: Afrinlilerden Cumhurbaşkanı @RT_Erdogan'a dua: Allah zaferler nasip etsin
#عفرين #غصن_الزيتون خريطة #عاجل #BreakSilenceOnAfrin…",FALSE,0,2018-03-19 19:32:17,FALSE,9.75817252078588E+017,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Cengizk11672211,18,TRUE,FALSE
175,"RT @ReyhanK38689843: #ZaferHilalindir
#Afrin 
PKK ypg büyük darbe yedi, hikaye anlatmayı bıraksınlar 😎 https://t.co/L0QOWtshgv",FALSE,0,2018-03-19 19:32:15,FALSE,9.75817245468357E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",avsar0038,1,TRUE,FALSE
176,"We are deeply concerned by UN evacuation reports of up to 250,000 Kurds from #Afrin #Syria. We call on all relevant… https://t.co/JuPd8ZzYzM",FALSE,0,2018-03-19 19:32:13,TRUE,9.75817235905286E+017,NA,"<a href=""http://convey.pro"" rel=""nofollow"">Convey: Make it post for you</a>",kenrod479,0,FALSE,FALSE
177,"Zeytin Dalı Harekatı kapsamında terör örgütü PKK/YPG'den temizlenen Afrin’de, Türk Silahlı Kuvvetleri ile koordinel… https://t.co/VIrbm9xH9t",FALSE,6,2018-03-19 19:32:13,TRUE,9.75817235796292E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",eha_medya,2,FALSE,FALSE
178,RT @RainerRogge: Schon vor Jahren habe ich davor gewarnt das der #Diktator der #Tuerkei den #Krieg um die Eroberung von fast ganz #Kurdista…,FALSE,0,2018-03-19 19:32:11,FALSE,9.75817228791795E+017,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Alfred996,2,TRUE,FALSE
179,"RT @MartinGlasenapp: Hm, das US-Außenministerium zeigt sich jetzt „zutiefst besorgt“ über die humanitäre Lage in #Afrin. Immerhin fordert e…",FALSE,0,2018-03-19 19:32:10,FALSE,9.75817224270242E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",scheerenberger,23,TRUE,FALSE
180,RT @GnsRecep21: #Afrin şehir merkezi özgürleştirildi. Ne bebeklere nede evlere zarar verilmeden nasıl savaşıldığı gösterildi elhamdülillah.…,FALSE,0,2018-03-19 19:32:08,FALSE,9.75817215978234E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ak_Vatan_Bayrak,28,TRUE,FALSE
181,RT @CivilWarMap: YPG/YPJ destroyed a vehicle used by Turkish-backed rebels to transport ammunition in Kala village in #Afrin Canton today…,FALSE,0,2018-03-19 19:32:07,FALSE,9.75817209086927E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bokan_kurdistan,44,TRUE,FALSE
182,"RT @BircanBasak1453: Allah'ım
Bize güç ver
Cihâd meydanını
Pehlivansız bırakma Allah'ım
Kahraman bekleyen yığınlarını,
Kahramansız bırakma…",FALSE,0,2018-03-19 19:32:06,FALSE,9.75817207665119E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ilyfb7434,189,TRUE,FALSE
183,RT @th1an1: #BreakSilenceOnAfrin: Anarchist intervention in front of the Turkish Airlines’ counter at the Macedonia International airport i…,FALSE,0,2018-03-19 19:32:06,FALSE,9.75817204792005E+017,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",BLACKFLAGchi,1,TRUE,FALSE
