X,Text,favorited,favoriteCount,replyToSN,Date,truncated,replyToSID,id,replyToUID,statusSource,screen_name,retweetCount,isRetweet,retweeted,longitude,latitude,from_user,reply_to,users_mentioned,retweet_from,hashtags_used
66,"Hayırlı Geceler 
#Galatasaray Ailesi 
@BafGomis https://t.co/AckITPNgkM",FALSE,3,NA,1521483535,FALSE,NA,975798790757212200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LION_FERHAT1905,0,FALSE,FALSE,NA,NA,LION_FERHAT1905,NA,BafGomis,NA,#Galatasaray
67,"RT @BalkeseOzgur: #realişçilerikazanacak REAL DİRENİŞÇİLERİNDEN ÇANAKKALE TÜRKÜSÜ https://t.co/VcYAx2xiti 
#EnesÜnal #Risusbet10TLBonus #Af…",FALSE,0,NA,1521483497,FALSE,NA,975798628840362e3,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mehmet01kacmaz,3,TRUE,FALSE,NA,NA,mehmet01kacmaz,NA,BalkeseOzgur,BalkeseOzgur,"c(""#realişçilerikazanacak"", ""#EnesÜnal"", ""#Risusbet10TLBonus"")"
68,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483476,FALSE,NA,975798541808488400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",emirjan0,1330,TRUE,FALSE,NA,NA,emirjan0,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
69,RT @beINSPORTS_TR: Fatih Terimli #Galatasaray'ın 26. haftalar itibariyle topladığı puanlar ve şampiyonlukları... #beinfinal https://t.co/gV…,FALSE,0,NA,1521483354,FALSE,NA,975798032078950400,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",denl1_velat,18,TRUE,FALSE,NA,NA,denl1_velat,NA,beINSPORTS_TR,beINSPORTS_TR,"c(""#Galatasaray'ın"", ""#beinfinal"")"
70,"RT @someratr: 17 Mart Cumartesi #SomeraReyting sıralaması:
1.#Fenerbahçe - #Galatasaray
2.#Survivor2018
3.#FaziletHanımveKızları
4.#SiyahBe…",FALSE,0,NA,1521483314,FALSE,NA,975797863828672500,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sara87212655,190,TRUE,FALSE,NA,NA,Sara87212655,NA,someratr,someratr,"c(""#SomeraReyting"", ""#Fenerbahçe"", ""#Galatasaray"", ""#Survivor2018"", ""#FaziletHanımveKızlar"")"
71,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521483247,FALSE,NA,975797580960497700,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",semayaman1905,1330,TRUE,FALSE,NA,NA,semayaman1905,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
72,RT @UltrasTifo: Derby! #fenerbahce #galatasaray #ultrastifo #ultras #tifo see more here:  | Fenerbahce - Galatasaray 17.03.2018 https://t.c…,FALSE,0,NA,1521483188,FALSE,NA,975797334884921300,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alps1907,27,TRUE,FALSE,NA,NA,alps1907,NA,UltrasTifo,UltrasTifo,"c(""#fenerbahce"", ""#galatasaray"", ""#ultrastifo"", ""#ultras"", ""#tifo"")"
73,NA,FALSE,1,NA,1521483114,FALSE,NA,975797024170836e3,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ekiciihalil,0,FALSE,FALSE,NA,NA,ekiciihalil,NA,NA,NA,character(0)
74,NA,FALSE,1,NA,1521482927,FALSE,NA,975796239966064600,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tcenkkaboglu,0,FALSE,FALSE,NA,NA,tcenkkaboglu,NA,NA,NA,character(0)
75,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521482882,FALSE,NA,975796051696410600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BurakBaduur,1330,TRUE,FALSE,NA,NA,BurakBaduur,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
